Company Name,Job Title,Salary,Location,Post Time
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ MB AGEAS,Risk Analyst Expert, Cạnh tranh,"
Hà Nội
",14/03/2022
Công ty Tài chính TNHH MB SHINSEI (MCREDIT),CV/CVCC Phân tích dữ liệu - Trung tâm phân tích kinh doanh, Cạnh tranh,"
Hà Nội
",12/03/2022
Công ty CP Đầu tư KSFinance,Chuyên viên Phân Tích Dữ Liệu, 10 Tr - 25 Tr VND,"
Hà Nội
",14/03/2022
Công ty cổ phần công  nghệ thông tin địa lý eK,Chuyên Viên BA Phân Tích Nghiệp Vụ Phần Mềm, 8 Tr - 15 Tr VND,"
Hà Nội
",13/03/2022
Công ty TNHH VNDCredit,Chuyên Viên Phân Tích Dữ Liệu Thu Hồi Nợ, 12 Tr - 18 Tr VND,"
Hà Nội
",15/03/2022
Công ty Tài Chính Cổ Phần Tín Việt ,Chuyên Viên Phân Tích Dữ Liệu, Cạnh tranh,"
Hà Nội
",28/02/2022
Ngân Hàng TMCP Quân Đội,Chuyên viên phân tích Dữ liệu - Khối CNTT, Cạnh tranh,"
Hà Nội
",13/03/2022
Tập Đoàn Karofi Holding,Chuyên Viên Quản Lý Dữ Liệu, 20 Tr - 25 Tr VND,"
Hà Nội
",14/03/2022
CÔNG TY CỔ PHẦN KINH DOANH F88,CV/CVC Mô hình dữ liệu, 10 Tr - 15 Tr VND,"
Hà Nội
",14/03/2022
Công ty Cổ phần Mediamart Việt Nam,Nhân viên IT quản lý hệ thống và phát triển phần mềm, 15 Tr - 20 Tr VND,"
Hà Nội
",12/03/2022
Ngân Hàng Thương mại cổ phần Bắc Á- BAC A BANK,Chuyên viên quản lý hệ thống - [BAC A BANK - Khối Ngân hàng Bán buôn], Cạnh tranh,"
Hà Nội
",16/03/2022
CÔNG TY CỔ PHẦN DỊCH VỤ & KINH DOANH VINFAST,Senior Internal Control/ Internal Audit Expert, Cạnh tranh,"
Hải Dương Hải Phòng Hà Nội
",21/02/2022
CÔNG TY TNHH CMC GLOBAL,Senior SEO Specialist - T5048, 15 Tr - 25 Tr VND,"
Hà Nội
",14/03/2022
Tổng Công ty Cổ phần Bảo hiểm Quân đội (MIC),Java Developer, Cạnh tranh,"
Hà Nội
",12/03/2022
Công ty CP NetNam,System Engineer, 13 Tr - 18 Tr VND,"
Hà Nội
",17/03/2022
CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ĐÒN BẨY SỐ,Fullstack Developer," Dưới 26,4 Tr VND","
Hà Nội
",12/03/2022
Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Data Scientist, Cạnh tranh,"
Hà Nội
",15/03/2022
Ngân Hàng TMCP Quân Đội,Junior/Senior Data Scientist, Cạnh tranh,"
Hà Nội
",26/02/2022
CÔNG TY CỔ PHẦN ĐẦU TƯ CHÂU Á THÁI BÌNH DƯƠNG,"Java Developer (Junior/ Middle/ Senior - Upto 1,500$++)"," 15,4 Tr - 33 Tr VND","
Hà Nội
",09/03/2022
Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử viễn thông,Nhân viên Tester, Dưới 30 Tr VND,"
Hà Nội
",11/03/2022
CÔNG TY CỔ PHẦN VUA NỆM,Chuyên viên Back-end Developer, 15 Tr - 25 Tr VND,"
Hà Nội
",16/03/2022
CareerBuilder's client,Python Developer," 52,8 Tr - 61,6 Tr VND","
Hà Nội
",20/02/2022
Ngân Hàng TMCP Quân Đội,Chuyên viên Phân tích dữ liệu và báo cáo - Khối CNTT, Cạnh tranh,"
Hà Nội
",14/03/2022
CÔNG TY CỔ PHẦN ĐẦU TƯ CHÂU Á THÁI BÌNH DƯƠNG,".Net Developer (Junior/ Middle/ Senior - Upto 1,500$++)"," 15,4 Tr - 33 Tr VND","
Hà Nội
",09/03/2022
Ngân Hàng TMCP Tiên Phong (TPBank),Chuyên viên trực giám sát an ninh thông tin, Cạnh tranh,"
Hà Nội
",17/03/2022
FPT Information System (FIS),Lập Trình Viên Java (Fullstack), 20 Tr - 45 Tr VND,"
Hồ Chí Minh Hà Nội
",01/03/2022
CÔNG TY CỔ PHẦN VUA NỆM,Chuyên viên Back-end Developer, 20 Tr - 30 Tr VND,"
Hà Nội
",17/03/2022
CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ LIÊN VIỆT,Chuyên viên Phân tích nghiệp vụ (có nghiệp vụ CRM), 15 Tr - 30 Tr VND,"
Hà Nội
",14/03/2022
Công ty Tài chính TNHH MB SHINSEI (MCREDIT),CV/CVCC Phát Triển Và Quản Lý Hệ Thống Dữ Liệu/Báo Cáo, Cạnh tranh,"
Hà Nội
",06/03/2022
FPT Information System (FIS),NV Phân tích và triển khai ứng dụng Business Intelligence, 8 Tr - 15 Tr VND,"
Hà Nội
",12/03/2022
Công ty Tài chính TNHH MB SHINSEI (MCREDIT),CV/ CVCC Quản Lý Khai Thác Dữ Liệu, Cạnh tranh,"
Hà Nội
",06/03/2022
Ngân Hàng TMCP Quốc Dân (NCB),Chuyên viên/Chuyên viên Chính/Chuyên viên Cao cấp Vận hành ứng dụng CoreBanking - Phòng Vận hành dịch vụ - Khối Công nghệ, Cạnh tranh,"
Hà Nội
",10/03/2022
Công Ty Cổ Phần Tư vấn Quản Trị Doanh Nghiệp Tinh Vân,Lập Trình Viên .NET Cao Cấp, 16 Tr - 30 Tr VND,"
Hà Nội
",14/03/2022
Ngân Hàng TMCP Quốc Dân (NCB),Java/.Net Developer - Chuyên viên Chính/Chuyên viên Chính/Cao cấp Phát triển ứng dụng - Khối Công nghệ, Cạnh tranh,"
Hà Nội
",11/03/2022
Ngân Hàng TMCP Quốc Dân (NCB),Chuyên viên/Chuyên viên Chính/Cao cấp Lập trình Java - Khối Công nghệ, Cạnh tranh,"
Hà Nội
",18/02/2022
Công Ty Cổ Phần Truyền Thông VMG,Chuyên Viên Phân Tích & Vận Hành Sản Phẩm, Cạnh tranh,"
Hà Nội
",16/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên quản trị nhập liệu, Cạnh tranh,"
Hà Nội
",15/03/2022
TECHCOMBANK,Chuyên viên/Chuyên viên cao cấp vận hành cơ sở dữ liệu (DBA), Cạnh tranh,"
Hà Nội
",15/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên phát triển BackEnd - Trung tâm Phát triển - Khối CNTT, Cạnh tranh,"
Hà Nội
",11/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking, Cạnh tranh,"
Hà Nội
",08/03/2022
Công Ty CP XNK Hóa Chất & Thiết Bị Kim Ngưu,Trưởng phòng IT (Mới), 30 Tr - 45 Tr VND,"
Hà Nội
",16/03/2022
Công ty Tài Chính Cổ Phần Tín Việt ,Chuyên viên phát triển ứng dụng ERP, 15 Tr - 28 Tr VND,"
Hà Nội
",08/03/2022
